,Title,IMDb_rating,Popularity_score,Genres,Release_year,Duration,Storyline,Box office,Votes
0,Bullet Train,7.3,49,"Action, Comedy, Thriller            ",2022,127 min,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,,204043
1,The Batman,7.8,72,"Action, Crime, Drama            ",2022,176 min,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",,631104
2,The Godfather,9.2,100,"Crime, Drama            ",1972,175 min,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"134,966,411",1849943
3,The Dark Knight,9,84,"Action, Crime, Drama            ",2008,152 min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","534,858,444",2642248
4,The Bad Guys,6.8,64,"Animation, Adventure, Comedy            ",2022,100 min,"To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways.",,39473
5,Emily the Criminal,6.7,75,"Crime, Drama, Thriller            ",2022,97 min,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",,19659
6,The Outfit,7.1,69,"Crime, Drama, Mystery            ",2022,105 min,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.,,41409
7,The Gentlemen,7.8,51,"Action, Comedy, Crime            ",2019,113 min,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","36,471,795",339084
8,Goodfellas,8.7,90,"Biography, Crime, Drama            ",1990,145 min,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","46,836,394",1157269
9,John Wick,7.4,68,"Action, Crime, Thriller            ",2014,101 min,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,"43,037,835",631666
10,Léon: The Professional,8.5,64,"Action, Crime, Drama            ",1994,110 min,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","19,501,238",1158157
11,The Departed,8.5,85,"Crime, Drama, Thriller            ",2006,151 min,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"132,384,315",1321657
12,Super Mario Bros.,4.1,35,"Adventure, Comedy, Family            ",1993,104 min,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.","20,915,465",55520
13,Nobody,7.4,64,"Action, Crime, Drama            ",2021,92 min,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.","27,268,035",250825
14,Drive,7.8,78,"Action, Drama            ",2011,100 min,"A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver,","35,061,555",640620
15,The Equalizer,7.2,57,"Action, Crime, Thriller            ",2014,132 min,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,"101,530,738",373283
16,Suicide Squad,5.9,40,"Action, Adventure, Fantasy            ",2016,123 min,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,"325,100,054",686137
17,Heat,8.3,76,"Action, Crime, Drama            ",1995,170 min,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"67,436,818",654479
18,The Godfather Part II,9,90,"Crime, Drama            ",1974,202 min,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","57,300,000",1266839
19,Reservoir Dogs,8.3,79,"Crime, Thriller            ",1992,99 min,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","2,832,029",1016339
20,The Irishman,7.8,94,"Biography, Crime, Drama            ",2019,209 min,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,"7,000,000",388205
21,Harry Potter and the Deathly Hallows: Part 1,7.7,65,"Adventure, Family, Fantasy            ",2010,146 min,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","295,983,305",548839
22,The Usual Suspects,8.5,77,"Crime, Drama, Mystery            ",1995,106 min,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","23,341,568",1083555
23,From Dusk Till Dawn,7.2,48,"Action, Crime, Horror            ",1996,108 min,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","25,753,840",316767
24,Scarface,8.3,65,"Crime, Drama            ",1983,170 min,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","45,598,982",839792
25,Zootopia,8,78,"Animation, Adventure, Comedy            ",2016,108 min,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","341,268,248",499389
26,Once Upon a Time in America,8.3,75,"Crime, Drama            ",1984,229 min,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","5,321,508",352643
27,Deadpool 2,7.7,66,"Action, Adventure, Comedy            ",2018,119 min,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","324,591,735",582105
28,Kick-Ass,7.6,66,"Action, Comedy, Crime            ",2010,117 min,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.","48,071,303",564431
29,Casino,8.2,73,"Crime, Drama            ",1995,178 min,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.","42,438,300",520627
30,City of God,8.6,79,"Crime, Drama            ",2002,130 min,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","7,563,397",756095
31,Baby Driver,7.6,86,"Action, Crime, Drama            ",2017,113 min,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","107,825,862",538391
32,John Wick: Chapter 3 - Parabellum,7.4,73,"Action, Crime, Thriller            ",2019,130 min,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","171,015,687",344395
33,Shang-Chi and the Legend of the Ten Rings,7.4,71,"Action, Adventure, Fantasy            ",2021,132 min,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","224,543,292",379915
34,Sing,7.1,59,"Animation, Comedy, Family            ",2016,108 min,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","270,395,425",171656
